1,111
2,96
3,91
4,83
5,81.25
6,79.25
7,79
8,77
9,76
10,71
11,69
12,66.25
13,66
14,65.5
15,64
16,63
17,62
18,59
19,58.75
20,58.5
21,58
22,56
23,52.25
24,51
25,46.75
26,45.5
27,44
28,42
29,40
30,39.5
31,39
32,38
33,36
34,35
35,33
36,33
37,32.5
38,32
39,26
40,24
41,22
42,21
43,19.5
44,17
45,16
46,16
47,15.25
48,15.25
49,10
50,2
51,0
