ï»¿74
63
45
44
42
42
41
40
39
36
36
35
34
33
30
29
28
26
25
25
25
24
24
24
23
21
21
21
20
18
18
17
16
16
15
14
14
14
14
14
13
12
11
11
10
9
8
6
6
