cameraLocation,cameraNumber,cameraProject,Location 1
S Stricker St and Ramsay St,1003,Tri-District,"(39.28327715420, -76.64071669750)"
S Parrish St and McHenry St,1004,Tri-District,"(39.28438110980, -76.64148726000)"
S Parrish St and Ramsay St,1005,Tri-District,"(39.28327877910, -76.64138848910)"
McHenry St and S Gilmor St,1006,Tri-District,"(39.28444510230, -76.64206805370)"
S Gilmor St and Ramsay St,1007,Tri-District,"(39.28323384920, -76.64213185160)"
W Pratt St and S Mount St,1008,Tri-District,"(39.28534544320, -76.64364701360)"
McHenry St and S Mount St,1009,Tri-District,"(39.28439702250, -76.64348151930)"
S Mount St and Ramsay St,1010,Tri-District,"(39.28320994960, -76.64342851930)"
W Pratt St and S Fulton Ave,1011,Tri-District,"(39.28519484670, -76.64495155390)"
S Fulton St and McHenry St,1012,Tri-District,"(39.28434337060, -76.64488446460)"
Wilhelm St and S Fulton Ave,1013,Tri-District,"(39.28374911570, -76.64489432240)"
Ramsay St and S Fulton Ave,1014,Tri-District,"(39.28314086750, -76.64484244230)"
McHenry St and S Addison St,1015,Tri-District,"(39.28431359460, -76.64581804900)"
W Pratt St and S Monroe St,1016,Tri-District,"(39.28512072760, -76.64668716710)"
S Monroe St and Wilhelm St,1017,Tri-District,"(39.28363674440, -76.64672108340)"
S Monroe St and Ramsay St,1018,Tri-District,"(39.28308985110, -76.64656328580)"
S Payson St and McHenry St,1019,Tri-District,"(39.28423883930, -76.64847873860)"
S Payson St and Ramsay St,1020,Tri-District,"(39.28312228630, -76.64842825960)"
S Payson St and Ashton St,1021,Tri-District,"(39.28278926360, -76.64832181040)"
S Pulaski St and McHenry,1022,Tri-District,"(39.28417917960, -76.64989045050)"
S Pulaski St and Wilhelm St,1023,Tri-District,"(39.28355516040, -76.64975673400)"
S Pulaski St and Ramsay St,1024,Tri-District,"(39.28297168380, -76.64969071960)"
S Pulaski St and Ashton St,1025,Tri-District,"(39.28239286220, -76.64978531990)"
S Smallwood St and Ramsay St,1026,Tri-District,"(39.28297548740, -76.65111117650)"
Smallwood and Ashton,1027,Tri-District,"(39.28187885000, -76.65107192030)"
W Pratt St and S Carey St,1028,Tri-District,"(39.28561007200, -76.63787874410)"
Lombard and Carrolton,1029,Tri-District,"(39.28651718350, -76.63667844710)"
Pennsylvania Ave and Baker St,1101,Pennsylvania Ave,"(39.30820355390, -76.64041788830)"
N Carey St and Baker St,1102,Pennsylvania Ave,"(39.30766800190, -76.64126648060)"
Pennsylvania Ave and Gold St,1103,Pennsylvania Ave,"(39.30748456120, -76.63951433580)"
Pennsylvania Ave and Bloom St,1104,Pennsylvania Ave,"(39.30677590870, -76.63852155960)"
N Fremont Ave and Presstman St,1105,Pennsylvania Ave,"(39.30563386370, -76.63798631990)"
Pennsylvania Ave and Presstman St,1106,Pennsylvania Ave,"(39.30586734440, -76.63741004970)"
Division St and Presstman St,1107,Pennsylvania Ave,"(39.30674394400, -76.63645810410)"
Division St and Robert St,1108,Pennsylvania Ave,"(39.30583226840, -76.63548961830)"
Pennsylvania Ave and Robert St,1109,Pennsylvania Ave,"(39.30509273730, -76.63659827810)"
N Fremont Ave and Robert St,1110,Pennsylvania Ave,"(39.30451239570, -76.63745313390)"
Division St and Laurens St,1111,Pennsylvania Ave,"(39.30509689360, -76.63441015820)"
Pennsylvania Ave and Wilson St,1112,Pennsylvania Ave,"(39.30349466440, -76.63462514950)"
Division St and Islamic Way,1113,Pennsylvania Ave,"(39.30434663840, -76.63344030080)"
Pennsylvania Ave and Pitcher St,1114,Pennsylvania Ave,"(39.30294357760, -76.63428103750)"
N Fremont Ave and Pitcher St,1115,Pennsylvania Ave,"(39.30176842830, -76.63587252120)"
Mosher St and Argyle St,1116,Pennsylvania Ave,"(39.30126291780, -76.63352647170)"
Pennsylvania Ave and Mosher St,1118,Pennsylvania Ave,"(39.30186944210, -76.63263260090)"
E North Ave and Aisquith,1201,North Ave East,"(39.31182727360, -76.60270089890)"
E North Ave and Harford,1202,North Ave East,"(39.31200298350, -76.59948531480)"
E North Ave and Broadway,1203,North Ave East,"(39.31223759750, -76.59514481060)"
E North Ave and Wolfe,1204,North Ave East,"(39.31232164490, -76.59182585310)"
E North Ave and Washington,1205,North Ave East,"(39.31238666840, -76.59033186430)"
E North Ave and Chester,1206,North Ave East,"(39.31246612820, -76.58862334360)"
E North Ave and Collington,1207,North Ave East,"(39.31252063500, -76.58743196340)"
E North Ave and Belair,1208,North Ave East,"(39.31270488860, -76.58403541410)"
E North Ave and Port,1209,North Ave East,"(39.31253708100, -76.58389327860)"
E North Ave and Milton,1210,North Ave East,"(39.31270326620, -76.58312140320)"
Harford and 20th,1301,Harford Rd,"(39.31303541470, -76.59910760000)"
Harford and Broadway,1302,Harford Rd,"(39.31419945170, -76.59812231140)"
Harford and Darley,1303,Harford Rd,"(39.31509134600, -76.59713578550)"
Harford and Cliftview,1304,Harford Rd,"(39.31579840110, -76.59639029370)"
Harford and 25th,1305,Harford Rd,"(39.31659644250, -76.59569989610)"
Harford Harbor City School,1306,Harford Rd,"(39.31783800660, -76.59397401190)"
Harford and Montpelier,1307,Harford Rd,"(39.31867949900, -76.59335915000)"
Harford and Homestead,1308,Harford Rd,"(39.31924307620, -76.59281564440)"
Harford and Abbotston,1309,Harford Rd,"(39.32078906530, -76.59121785980)"
Harford and Alameda,1310,Harford Rd,"(39.32120364830, -76.59051120010)"
Harford and Tivoly,1311,Harford Rd,"(39.32177310990, -76.58992675470)"
Harford and Fenwick,1312,Harford Rd,"(39.32219412300, -76.58933978810)"
Harford and Hugo,1313,Harford Rd,"(39.32301442750, -76.58868605210)"
Belair and Ravenwood,1401,Belair Rd,"(39.31520803250, -76.58112109840)"
Belair and Elmora,1402,Belair Rd,"(39.31590532390, -76.58030765120)"
Belair and Lyndale,1403,Belair Rd,"(39.31643948320, -76.57970001860)"
Belair and Elmley,1404,Belair Rd,"(39.31702304600, -76.57904566450)"
Belair across from shopping center,1405,Belair Rd,"(39.31831797260, -76.57753809580)"
Belair and Cliftmont,1406,Belair Rd,"(39.31960186970, -76.57593071700)"
Belair and Mareco,1407,Belair Rd,"(39.32061069110, -76.57473189820)"
Belair and Clifton Park Terrace,1408,Belair Rd,"(39.32091662030, -76.57458894390)"
Belair and Erdman,1409,Belair Rd,"(39.32168711190, -76.57377426390)"
Belair and Sheldon,1410,Belair Rd,"(39.32876468750, -76.56481553770)"
Rusty Scupper,1901,Inner Harbor,"(39.28191598800, -76.60771839610)"
Rash Field,1902,Inner Harbor,"(39.28185643810, -76.60930110010)"
Carousel,1903,Inner Harbor,"(39.28183845530, -76.60997131620)"
Science Center,1904,Inner Harbor,"(39.28200188200, -76.61162019990)"
Spirit Of Baltimore,1905,Inner Harbor,"(39.28576665960, -76.61080580250)"
Visitor Center,1906,Inner Harbor,"(39.28426680870, -76.61248541690)"
Light Street Food Hall,1907,Inner Harbor,"(39.28539100480, -76.61190672540)"
Constellation,1908,Inner Harbor,"(39.28591038090, -76.61129474250)"
Constellation Pier,1909,Inner Harbor,"(39.28525033440, -76.61080882680)"
Trade Center,1910,Inner Harbor,"(39.28595124830, -76.61014688620)"
Pier 5 Hotel,1911,Inner Harbor,"(39.28377918090, -76.60601268080)"
Pier 5 Lighthouse,1912,Inner Harbor,"(39.28340030590, -76.60535759440)"
Pier 6 Pavillion,1913,Inner Harbor,"(39.28375093590, -76.60461439180)"
Charles and Conway,1920,Federal Reserve,"(39.28418169670, -76.61459894760)"
Sharp and Conway,1921,Federal Reserve,"(39.28407276160, -76.61750986830)"
182 Hamburg St,1922,Federal Reserve,"(39.27835892410, -76.61858836960)"
Pratt and Sharp,1923,Federal Reserve,"(39.28625956700, -76.61763117910)"
Pratt and Light,1924,Federal Reserve,"(39.28647647600, -76.61335988220)"
NE Market Food Ct,1941,Northeast Market,"(39.29817941330, -76.58752289630)"
NE Market North,1942,Northeast Market,"(39.29852696340, -76.58754296000)"
NE Market South,1943,Northeast Market,"(39.29771599380, -76.58749062390)"
NE Market Middle,1944,Northeast Market,"(39.29809361120, -76.58752155480)"
McElderry & Chester,1945,Northeast Market,"(39.29760346270, -76.58785734210)"
Avenue Market Front,1961,Avenue Market,"(39.30390517200, -76.63549451160)"
Avenue Market Middle,1962,Avenue Market,"(39.30369622120, -76.63566767540)"
Avenue Market Back,1963,Avenue Market,"(39.30351988360, -76.63575201860)"
Pennsylvania and Laurens,1964,Avenue Market,"(39.30422547150, -76.63556094490)"
Fremont and Laurens,1965,Avenue Market,"(39.30352764120, -76.63675272460)"
Avenue Market Parking Lot,1966,Avenue Market,"(39.30338196960, -76.63515570610)"
Southwest Corner,1980,Hollins Market,"(39.28740738320, -76.63653263500)"
Northwest Corner,1981,Hollins Market,"(39.28755852720, -76.63654719490)"
Aisle Cam 1,1982,Hollins Market,"(39.28749742600, -76.63631801500)"
Aisle Cam 2,1983,Hollins Market,"(39.28751623100, -76.63592597410)"
Aisle Cam 3,1984,Hollins Market,"(39.28753100180, -76.63561675890)"
Hollins St and Carrollton,1985,Hollins Market,"(39.28759471060, -76.63664059930)"
Boyd St Side Entrance,1986,Hollins Market,"(39.28732397480, -76.63622977130)"
Arlington Ave East Entrance,1987,Hollins Market,"(39.28743183250, -76.63513632410)"
553 Dolphin St,2001,McCulloh,"(39.29971746910, -76.62875726290)"
569 Dolphin St,2002,McCulloh,"(39.29946534790, -76.62822201610)"
520 Hoffman St,2003,McCulloh,"(39.29955702460, -76.62781417030)"
517 Dolphin St,2004,McCulloh,"(39.30018241560, -76.62819256300)"
534 Preston St,2005,McCulloh,"(39.29943768480, -76.62700708690)"
503 Dolphin St,2006,McCulloh,"(39.30042506840, -76.62772105040)"
535 Hoffman St,2007,McCulloh,"(39.29901869000, -76.62793449240)"
570 Preston St,2008,McCulloh,"(39.29855568400, -76.62729731060)"
556 Preston St,2009,McCulloh,"(39.29887769770, -76.62691710360)"
516 Preston St,2010,McCulloh,"(39.29906629480, -76.62649472050)"
514 Preston St,2011,McCulloh,"(39.29935255410, -76.62657917610)"
1020 Druid Hill Rd,2012,McCulloh,"(39.29993038720, -76.62648136500)"
1135 Tiffany Ct,2013,McCulloh,"(39.30201672910, -76.62596139770)"
1101 Tiffany Ct,2014,McCulloh,"(39.30158314750, -76.62542580260)"
1035 Tiffany Ct,2015,McCulloh,"(39.30076933520, -76.62539009060)"
1001 Tiffany Ct,2016,McCulloh,"(39.30079172200, -76.62444538520)"
440 Oxford Ct,2017,McCulloh,"(39.30054038410, -76.62510640120)"
443 Manse Ct,2018,McCulloh,"(39.30137442660, -76.62649744580)"
1134 Stoddard Ct,2019,McCulloh,"(39.30111772300, -76.62715548870)"
1100 Stoddard Ct,2020,McCulloh,"(39.30068669950, -76.62662218350)"
1034 Stoddard Ct,2021,McCulloh,"(39.30032742730, -76.62617053420)"
1000 Stoddard Ct,2022,McCulloh,"(39.29989301590, -76.62564498150)"
442 Walton Ct,2023,McCulloh,"(39.29996656670, -76.62476179280)"
900 Stoddard Ct,2024,McCulloh,"(39.29892879420, -76.62443764890)"
1638 Bruce Ct rear,2101,Gilmor,"(39.30784092140, -76.64570515900)"
1638 Bruce Ct,2102,Gilmor,"(39.30727248720, -76.64558293500)"
1600 Bruce Ct rear,2103,Gilmor,"(39.30676881910, -76.64564218830)"
1601 Bakbury Ct,2105,Gilmor,"(39.30679078530, -76.64502373700)"
1679 Bakbury Ct,2106,Gilmor,"(39.30786138970, -76.64510475580)"
1678 Mountmor Ct,2107,Gilmor,"(39.30787474110, -76.64467306890)"
1600 Mountmor Ct,2108,Gilmor,"(39.30680359630, -76.64469650310)"
1600 Vincent Ct,2109,Gilmor,"(39.30681292220, -76.64428781590)"
1606 Vincent Ct,2110,Gilmor,"(39.30744839210, -76.64444091330)"
1679 Vincent Ct,2111,Gilmor,"(39.30789619740, -76.64414262190)"
1641 Vincent Ct,2112,Gilmor,"(39.30738830470, -76.64412068340)"
1600 Spray Ct,2113,Gilmor,"(39.30617032630, -76.64466271590)"
1605-2 Spray Ct,2114,Gilmor,"(39.30578274710, -76.64449805740)"
1601-8 Spray Ct,2115,Gilmor,"(39.30590590110, -76.64408144060)"
1500 Pressman Ct,2116,Gilmor,"(39.30545619610, -76.64388999530)"
1519 Presser Ct,2117,Gilmor,"(39.30573141680, -76.64355199570)"
Prestman St and Gilmor St,2118,Gilmor,"(39.30529054950, -76.64343203430)"
1638 Balmor Ct,2119,Gilmor,"(39.30519509710, -76.64407590270)"
1458 Mountmor Ct,2120,Gilmor,"(39.30524940640, -76.64460995160)"
1428 Mountmor Ct,2121,Gilmor,"(39.30481063840, -76.64449516620)"
1629 Balmor Ct rear,2122,Gilmor,"(39.30495961040, -76.64390738720)"
1401 Mountmor Ct,2123,Gilmor,"(39.30443214350, -76.64425697080)"
1639 Booker Ct,2124,Gilmor,"(39.30447564950, -76.64403328660)"
1601 Booker Ct,2125,Gilmor,"(39.30457264090, -76.64339196050)"
1629 Lorman Ct,2126,Gilmor,"(39.30400652530, -76.64385348330)"
1631 Lorman Ct,2127,Gilmor,"(39.30406276190, -76.64420097150)"
1649 Lorman Ct,2128,Gilmor,"(39.30405366280, -76.64454545060)"
1658 Delano Ct,2129,Gilmor,"(39.30374268080, -76.64453280480)"
1628 Delano Ct,2130,Gilmor,"(39.30376301530, -76.64383779440)"
1600 Delano Ct,2131,Gilmor,"(39.30377498920, -76.64334825880)"
1521 Mountmor Ct,2132,Gilmor,"(39.30636666810, -76.64436712740)"
800 Abbott Ct,2201,Latrobe,"(39.30120560540, -76.60614234320)"
856 Abbott Ct,2202,Latrobe,"(39.30132719830, -76.60499837990)"
818 Webb Ct,2203,Latrobe,"(39.30078163010, -76.60565152180)"
800 McAleer Ct,2204,Latrobe,"(39.30028906700, -76.60593835980)"
834 McAleer Ct,2205,Latrobe,"(39.30029406840, -76.60530056690)"
864 McAleer Ct,2206,Latrobe,"(39.30004471290, -76.60475874230)"
831 McAleer Ct,2207,Latrobe,"(39.30002882070, -76.60522404910)"
859 Homewood Ave,2208,Latrobe,"(39.29993428030, -76.60586286610)"
820 Hillman Ct,2209,Latrobe,"(39.29938366980, -76.60568298740)"
819 Hillman Ct,2210,Latrobe,"(39.29934454360, -76.60605316780)"
819 Homewood Ave,2211,Latrobe,"(39.30127236560, -76.60430462190)"
916 Webb Ct,2212,Latrobe,"(39.30077424590, -76.60372854710)"
921 Webb Ct,2213,Latrobe,"(39.30043848360, -76.60427448160)"
922 Ashland Ct,2214,Latrobe,"(39.30022810180, -76.60377704950)"
859 McAleer Ct,2215,Latrobe,"(39.29978769380, -76.60479243560)"
943 Wilmot Ct,2216,Latrobe,"(39.29922795410, -76.60387603020)"
1000 Abbott Ct,2217,Latrobe,"(39.30132861390, -76.60339074670)"
1101 Webb Ct,2218,Latrobe,"(39.30058581740, -76.60270631340)"
1000 Ashland Ct,2219,Latrobe,"(39.30025775230, -76.60286094350)"
1020 McAleer Ct,2220,Latrobe,"(39.29986216770, -76.60310718320)"
1001 McAleer Ct,2221,Latrobe,"(39.29970400610, -76.60354027250)"
1116 McAleer Ct,2222,Latrobe,"(39.30012481630, -76.60212028830)"
1130 McAleer Ct,2223,Latrobe,"(39.29990042870, -76.60220399940)"
1101 Wilmot Ct,2224,Latrobe,"(39.29928300170, -76.60267680900)"
901 Valley Ct,2225,Latrobe,"(39.30085163520, -76.60469916700)"
901 Valley Ct,2226,Latrobe,"(39.30024656490, -76.60467539260)"
901 McAleer Ct,2227,Latrobe,"(39.29966089250, -76.60462534270)"
200 Spring Ct,2301,Perkins,"(39.28896228080, -76.59829489350)"
299 Spring Ct,2302,Perkins,"(39.28751485880, -76.59800871810)"
264 Ballou Ct,2303,Perkins,"(39.28803613690, -76.59750334330)"
229 Ballou Ct,2304,Perkins,"(39.28858949480, -76.59721969330)"
269 Dallas Ct,2305,Perkins,"(39.28815493690, -76.59640764940)"
231 Mason Ct,2306,Perkins,"(39.28862141510, -76.59579257470)"
299 Mason Ct,2307,Perkins,"(39.28761390390, -76.59573284840)"
295 Mason Ct,2308,Perkins,"(39.28765683700, -76.59562337800)"
200 Herring Ct,2309,Perkins,"(39.28910837620, -76.59500938490)"
270 Herring Ct,2310,Perkins,"(39.28804855140, -76.59530279040)"
299 Herring Ct,2311,Perkins,"(39.28765533240, -76.59480056290)"
354 Spring Ct,2312,Perkins,"(39.28649190860, -76.59813012770)"
Community Building,2313,Perkins,"(39.28694158910, -76.59772678000)"
1413 Gough St,2314,Perkins,"(39.28733912880, -76.59743385570)"
319 Ballou Ct,2315,Perkins,"(39.28709831210, -76.59712900260)"
330 Ballou Ct,2316,Perkins,"(39.28691797800, -76.59711411800)"
326 Dallas Ct,2317,Perkins,"(39.28699959820, -76.59661540720)"
336 Mason Ct,2318,Perkins,"(39.28685715350, -76.59603157570)"
329 Mason Ct,2319,Perkins,"(39.28697751820, -76.59568512520)"
326 Herring Ct,2320,Perkins,"(39.28705966380, -76.59521699690)"
231 Orleans St,2401,PVG,"(39.29457042100, -76.60404074050)"
310 Forrest St,2402,PVG,"(39.29455422390, -76.60307404290)"
1110 New Hope Cir,2403,PVG,"(39.29373981100, -76.60187714950)"
1021 New Hope Cir,2404,PVG,"(39.29322903470, -76.60271106540)"
1008 New Hope Cir,2405,PVG,"(39.29387087680, -76.60320680170)"
1124 Colvin St,2406,PVG,"(39.29292954550, -76.60182678310)"
215 Saint Mathews St,2407,PVG,"(39.29362544920, -76.60388224120)"
1100 Colvin St,2408,PVG,"(39.29259687000, -76.60326166850)"
SE Corner of N Tot Lot,2409,PVG,"(39.29423353380, -76.60213550860)"
NW Corner of S Tot Lot,2410,PVG,"(39.29329838370, -76.60220792360)"
SE Corner of W Tot Lot,2411,PVG,"(39.29302495510, -76.60317436700)"
Courtyard Play Area,2412,PVG,"(39.29343089340, -76.60132679980)"
NE Elderly Bldg Central Ave,2413,PVG,"(39.29345688970, -76.60012032970)"
NE Community Center,2414,PVG,"(39.29391711800, -76.60121534200)"
SE Elderly Bldg CentralAve,2415,PVG,"(39.29286466200, -76.60009164780)"
SW Elderly Bldg Fayette St,2416,PVG,"(39.29281160330, -76.60067806830)"
Elderly Bldg Court Yard,2417,PVG,"(39.29310956550, -76.60076411020)"
Youth Center Fayette St,2418,PVG,"(39.29183475210, -76.60295905260)"
Daycare Center 1106 Fayette St,2419,PVG,"(39.29204954710, -76.60224869760)"
Daycare Center Play Area,2420,PVG,"(39.29246911280, -76.60198098410)"
NW Senior Center,2421,PVG,"(39.29345751720, -76.60071707530)"
Greenmount and Madison,2501,Dept of Corrections,"(39.29920319110, -76.60678288270)"
Madison and Constitution,2502,Dept of Corrections,"(39.29887497860, -76.60897936770)"
Monument and Fallsway,2503,Dept of Corrections,"(39.29776747170, -76.61055804960)"
Eager St Widows Peak,2504,Dept of Corrections,"(39.30104015180, -76.60825415370)"
Warden St Lot,2505,Dept of Corrections,"(39.30220950360, -76.60976408010)"
Fallsway and Eager,2506,Dept of Corrections,"(39.30124266530, -76.61072187210)"
JFX South,2507,Dept of Corrections,"(39.29904409530, -76.61056077940)"
JFX North,2508,Dept of Corrections,"(39.30106996110, -76.61067368290)"
N Charles St and Center St,2601,Midtown,"(39.29624105650, -76.61562692020)"
N Charles St and Madison St,2602,Midtown,"(39.29853195200, -76.61570916150)"
N Charles St and Read Ave,2603,Midtown,"(39.29975345390, -76.61572978850)"
Park Ave and Read St,2604,Midtown,"(39.30029866760, -76.61852774070)"
N Charles St and Eager St,2605,Midtown,"(39.30111062820, -76.61581325920)"
N Charles St and Chase St,2606,Midtown,"(39.30248083190, -76.61590175210)"
N Charles St and E Biddle St,2607,Midtown,"(39.30353204500, -76.61597299920)"
N Charles St and Preston St,2608,Midtown,"(39.30459450450, -76.61604412750)"
N Charles St and Mt Royal Ave,2609,Midtown,"(39.30548524660, -76.61612002540)"
N Charles St and Lanvale St,2610,Midtown,"(39.30881585390, -76.61633393550)"
N Charles St and North Ave,2611,Midtown,"(39.31098269470, -76.61639993660)"
N Charles St and 20th St,2612,Midtown,"(39.31227450180, -76.61674494120)"
Bubba Gump Restaurant,1914,Inner Harbor,"(39.28497641290, -76.61188192170)"
Visitor Center Waterfront North,1915,Inner Harbor,"(39.28438279430, -76.61184775520)"
Visitor Center Waterfront South,1916,Inner Harbor,"(39.28378936110, -76.61181202430)"
Tour Boat Kiosk,1917,Inner Harbor,"(39.28299914640, -76.61176344810)"
Dessert Shack South,1918,Inner Harbor,"(39.28240559590, -76.61172836320)"
HABC CCTV Hub Building,2701,Poe,"(39.29191685650, -76.63108172740)"
Smokestack South Building SE,2702,Poe,"(39.29164690710, -76.63118127660)"
Smokestack South Building NW,2703,Poe,"(39.29170759060, -76.63153244400)"
222 N Fremont Ave,2704,Poe,"(39.29169248200, -76.63066761710)"
Building 812,2705,Poe,"(39.29154733220, -76.63206730830)"
Building 900,2706,Poe,"(39.29153452170, -76.63236533710)"
Building 904,2707,Poe,"(39.29152454430, -76.63269566730)"
Tot Lot WSW Building,2708,Poe,"(39.29167111300, -76.63276364070)"
Building 901,2709,Poe,"(39.29203222740, -76.63249769780)"
Building 823,2710,Poe,"(39.29204556850, -76.63210262260)"
Building 817,2711,Poe,"(39.29206665710, -76.63149830320)"
Russell St & W Lee St,2801,Casino,"(39.28151126040, -76.62305867690)"
Russell St & Bayard St,2802,Casino,"(39.27344991120, -76.62888169480)"
Russell St & Haines St,2803,Casino,"(39.27291702980, -76.62954517760)"
Russell St & Bush St,2804,Casino,"(39.27236002140, -76.63023307590)"
Warner St & Haines St,2805,Casino,"(39.27208060300, -76.62833472530)"
Warner St & Bayard St,2806,Casino,"(39.27247333000, -76.62767596270)"
Warner St & Worcester St,2807,Casino,"(39.27382467490, -76.62629628210)"
Warner St & Stockholm St,2808,Casino,"(39.27533998400, -76.62437583610)"
W Ostend St & Warner St,2809,Casino,"(39.27642553400, -76.62406302170)"
301 Stockholm St,2810,Casino,"(39.27492644020, -76.62286054110)"
Stockholm St & S Sharp St,2811,Casino,"(39.27423151900, -76.62074511120)"
N Charles St and E Lafayette Ave,2610,Midtown,"(39.30989146240, -76.61639959440)"
N Charles St and E Monument St,2616,Midtown,"(39.29729721240, -76.61540740710)"
E Mount Vernon Pl and Saint Paul St,2620,Midtown,"(39.29764850820, -76.61415452950)"
Maryland Ave and W 20th St,2615,Midtown,"(39.31225860860, -76.61792550990)"
Maryland Ave and W Oliver St,2614,Midtown,"(39.30651087280, -76.61749248790)"
Maryland Ave and W Mt Royal Ave,2613,Midtown,"(39.30531622170, -76.61742741440)"
N Charles St and Penn Station,2622,Midtown,"(39.30752358290, -76.61645616740)"
N Charles St and E Eager St,2621,Midtown,"(39.30095224490, -76.61575346640)"
N Washington Pl and W Mount Vernon Pl,2617,Midtown,"(39.29727927070, -76.61588386940)"
N Washington Pl and W Mount Vernon Pl,2618,Midtown,"(39.29776040660, -76.61591361370)"
N Washington Pl and E Mount Vernon Pl,2619,Midtown,"(39.29777598970, -76.61544094750)"
Windsor Mill Rd & N Forest Park Ave,2900,Windsor Mill,"(39.31038665670, -76.70742822330)"
S Linwood Ave & E Pratt St,2901,Patterson Park,"(39.28992735790, -76.57608410970)"
S Linwood Ave & E Lombard St,2902,Patterson Park,"(39.29113067370, -76.57619009820)"
E Biddle St & Rutland Ave,1,EBDI,"(39.30430179710, -76.59268319860)"
1101 N Wolfe St,7,EBDI,"(39.30386449730, -76.59073027840)"
E Chase St & Rutland Ave,2,EBDI,"(39.30325697350, -76.59238964550)"
E Chase St & McDonogh St,4,EBDI,"(39.30334095030, -76.59363578940)"
N Broadway & E Chase St,14,EBDI,"(39.30328791540, -76.59442690680)"
E Chase St & N Gay St,15,EBDI,"(39.30312854270, -76.59519625740)"
N Broadway & E Eager St,16,EBDI,"(39.30188618110, -76.59467966180)"
E Eager St & McDonogh St,3,EBDI,"(39.30183957070, -76.59354999780)"
N Durham St,8,EBDI,"(39.30229806030, -76.59174066140)"
E Eager St & N Wolfe St,13,EBDI,"(39.30192603770, -76.59128344390)"
E Eager St & N Washington St,11,EBDI,"(39.30199330600, -76.58972203070)"
N Broadway & Ashland Ave,17,EBDI,"(39.30054804050, -76.59425829520)"
Ashland Ave & N Wolfe St,12,EBDI,"(39.30057208810, -76.59095348770)"
Ashland Ave & N Washington St,10,EBDI,"(39.30062372750, -76.58964180120)"
E Madison St & N Chester St,22,Hopkins Fixed Cameras,"(39.29958195340, -76.58803374360)"
E Madison St & N Castle St,17,Hopkins Fixed Cameras,"(39.29952753580, -76.58866549940)"
E Madison St & N Washington St,11,Hopkins Fixed Cameras,"(39.29951830930, -76.58945500060)"
2024 E Monument St,1,Hopkins Fixed Cameras,"(39.29917558730, -76.58800221510)"
2024 E Monument St,7,Hopkins Fixed Cameras,"(39.29870883890, -76.58797210560)"
2024 E Monument St,5,Hopkins Fixed Cameras,"(39.29868042360, -76.58861402540)"
2024 E Monument St,2,Hopkins Fixed Cameras,"(39.29915001570, -76.58864125460)"
E Monument St & N Washington St,13,Hopkins Fixed Cameras,"(39.29865687560, -76.58940046530)"
E Madison St & N Washington St,24,Hopkins Fixed Cameras,"(39.29951355490, -76.58976413560)"
E Madison St & N Wolfe St,29,Hopkins Fixed Cameras,"(39.29947071590, -76.59107224110)"
E Monument St & N Wolfe St,32,Hopkins Fixed Cameras,"(39.29859032430, -76.59101838550)"
733 N Broadway,37,Hopkins Fixed Cameras,"(39.29854946550, -76.59203014370)"
733 N Broadway,34,Hopkins Fixed Cameras,"(39.29942469180, -76.59215291700)"
733 N Broadway,40,Hopkins Fixed Cameras,"(39.29939005560, -76.59290325640)"
N Broadway & E Madison St,42,Hopkins Fixed Cameras,"(39.29945401160, -76.59436329000)"
E Monument St & N Caroline St,45,Hopkins Fixed Cameras,"(39.29814562140, -76.59745278930)"
1501 E Monument St,49,Hopkins Fixed Cameras,"(39.29819604710, -76.59651479590)"
600 N Broadway,100,Hopkins Fixed Cameras,"(39.29823701720, -76.59548953330)"
616 N Broadway,53,Hopkins Fixed Cameras,"(39.29825888740, -76.59490266680)"
N Broadway & E Monument St,55,Hopkins Fixed Cameras,"(39.29827761130, -76.59452711870)"
616 N Broadway,58,Hopkins Fixed Cameras,"(39.29820804260, -76.59449567750)"
N Broadway & E Monument St,60,Hopkins Fixed Cameras,"(39.29829516430, -76.59392510830)"
600 N Wolfe St,62,Hopkins Fixed Cameras,"(39.29833781350, -76.59257661150)"
E Monument St & N Wolfe St,93,Hopkins Fixed Cameras,"(39.29840032690, -76.59100820470)"
E Monument St & N Washington St,119,Hopkins Fixed Cameras,"(39.29845867920, -76.58969355960)"
E Monument St & N Castle St,94,Hopkins Fixed Cameras,"(39.29850298600, -76.58860250580)"
2027 E Monument St,98,Hopkins Fixed Cameras,"(39.29815304740, -76.58858091710)"
621 N Washington St,102,Hopkins Fixed Cameras,"(39.29777212700, -76.58940880530)"
McElderry St & N Washington St,123,Hopkins Fixed Cameras,"(39.29753064480, -76.58965152290)"
600 N Broadway,105,Hopkins Fixed Cameras,"(39.29737196740, -76.59445109570)"
1501 E Monument St,51,Hopkins Fixed Cameras,"(39.29730556310, -76.59624137850)"
McElderry St & N Caroline St,47,Hopkins Fixed Cameras,"(39.29727762790, -76.59741584820)"
N Caroline St & Jefferson St,64,Hopkins Fixed Cameras,"(39.29604008870, -76.59733177530)"
401 N Caroline St,66,Hopkins Fixed Cameras,"(39.29603818650, -76.59709555800)"
401 N Caroline St,71,Hopkins Fixed Cameras,"(39.29608710690, -76.59568952530)"
N Broadway & Jefferson St,136,Hopkins Fixed Cameras,"(39.29617753890, -76.59444806010)"
400 N Broadway,134,Hopkins Fixed Cameras,"(39.29611769000, -76.59477118600)"
550 N Broadway,145,Hopkins Fixed Cameras,"(39.29652534620, -76.59507906890)"
